0.138589  0.159916  0.164424  1.575472  nan  0.133153  1
nan  0.146352  0.143176  nan  0.134856  0.136256  1
nan  nan  0.165417  nan  0.118065  0.202785  1
0.137015  0.121302  0.136235  nan  nan  nan  1
0.134523  0.145943  0.720617  nan  nan  0.140843  1
0.127822  nan  nan  0.278071  nan  0.207326  1
0.117530  0.129032  nan  0.209537  nan  0.544395  1
nan  nan  0.146956  nan  0.129148  0.144490  1
0.435416  nan  nan  0.170679  0.127074  0.125935  1
0.152170  0.137353  nan  0.161506  0.430584  0.132906  1
0.224428  nan  0.188743  0.147910  0.144047  0.141217  1
0.353787  nan  0.137500  0.140685  nan  0.133423  1
nan  0.347962  0.176880  nan  0.203870  nan  1
nan  0.162851  0.145961  0.128343  nan  nan  1
0.519938  nan  0.140934  nan  0.201378  0.147516  1
0.132105  0.171556  0.174629  0.139488  0.164590  nan  1
nan  0.226816  0.149905  0.172896  0.328002  0.135428  1
0.127164  0.139230  0.125345  0.122350  0.164248  0.174615  1
nan  nan  nan  0.144840  0.228991  0.119066  1
0.179402  nan  nan  0.151333  nan  nan  1
nan  nan  0.124667  0.324093  0.165714  nan  1
0.153329  0.124842  nan  0.164669  nan  nan  1
nan  0.216679  0.284102  0.188363  0.125870  0.145898  1
nan  nan  0.150350  nan  0.123164  nan  1
nan  0.215857  0.204216  0.186926  0.152791  0.131247  1
nan  nan  0.135564  nan  0.132006  nan  1
nan  0.152395  nan  nan  0.158982  nan  1
0.152714  0.128145  0.203346  0.166420  0.144258  0.115275  1
nan  nan  0.552115  1.846745  0.206371  nan  1
0.143085  0.128112  nan  0.158667  nan  0.152416  1
0.176306  0.190864  nan  0.148449  0.137511  nan  1
0.122998  0.181704  0.173765  nan  0.342431  0.334432  1
0.485612  0.123279  0.126843  0.150575  1.106759  0.179267  1
0.126228  nan  nan  nan  0.247237  nan  1
0.192342  0.137893  nan  0.180989  nan  nan  1
0.193450  nan  nan  0.129620  0.150765  nan  1
0.188958  nan  nan  0.133145  0.119307  0.175432  1
0.248783  nan  nan  0.126180  0.129042  0.121996  1
nan  nan  0.143486  nan  nan  0.122226  1
nan  0.126633  0.114029  nan  nan  0.140335  1
nan  0.139851  nan  0.139166  0.169435  0.123593  1
nan  0.157788  0.140359  nan  0.138224  nan  1
0.151103  nan  0.145108  0.143238  0.141781  0.125723  1
0.144649  nan  0.141165  0.153718  0.257493  nan  1
nan  0.185316  0.165594  nan  0.137677  0.131841  1
nan  0.144282  nan  0.229909  0.143841  nan  1
0.197744  0.118930  0.175822  nan  nan  0.187217  1
nan  0.131306  nan  0.208478  0.199810  0.147240  1
0.160859  nan  nan  nan  0.161662  0.155067  1
nan  0.192649  0.118126  0.134907  0.130049  0.152399  1
0.148541  0.150210  nan  0.464368  0.130413  0.170673  1
nan  0.133490  nan  nan  nan  nan  1
nan  0.158804  0.155209  0.246405  0.129018  nan  1
0.139684  0.196176  nan  nan  0.152758  0.144264  1
nan  0.454786  nan  nan  nan  0.184375  1
0.146710  0.116235  0.163041  nan  nan  0.135430  1
0.128849  nan  0.116208  0.239880  0.140691  nan  1
0.254200  0.133720  nan  nan  0.131313  nan  1
0.147107  0.140264  0.148873  0.166236  nan  0.129876  1
nan  0.277255  0.170825  nan  nan  0.125669  1
0.127120  0.174585  0.193941  nan  nan  nan  1
0.129644  nan  nan  nan  nan  0.122350  1
nan  nan  0.128653  0.206177  0.848214  0.150163  1
0.124051  0.175457  nan  nan  0.120964  nan  1
nan  0.167748  0.133279  0.170799  nan  0.187882  1
0.249362  0.183475  0.148315  nan  0.134716  0.171707  1
0.115147  nan  0.149387  0.484609  nan  2.769841  1
0.132030  0.148583  0.175017  0.136646  nan  nan  1
0.150255  0.162651  nan  nan  0.309120  0.137870  1
0.216366  nan  nan  nan  0.165967  0.126805  1
nan  0.144443  0.176944  0.173400  nan  nan  1
0.307647  0.174543  0.129533  0.135730  nan  0.162412  1
0.175946  nan  nan  nan  0.465025  nan  1
nan  nan  0.138366  nan  nan  nan  1
nan  nan  nan  nan  0.226479  nan  1
nan  0.127475  nan  nan  nan  nan  1
nan  0.147162  0.162884  nan  nan  nan  1
nan  nan  0.152359  0.158747  nan  0.131328  1
0.158388  nan  0.162570  0.168722  nan  nan  1
0.155207  nan  nan  nan  nan  nan  1
0.509224  0.147667  nan  0.125824  0.127477  0.202232  1
nan  0.151532  0.201800  nan  nan  0.137873  1
nan  nan  0.122599  0.476892  nan  nan  1
nan  0.160730  nan  0.180935  0.128353  0.216647  1
nan  0.143842  0.146032  1.046640  nan  0.209845  1
0.160382  0.123249  nan  0.140150  0.134419  nan  1
0.139976  0.138669  nan  nan  nan  nan  1
0.172774  0.140365  nan  nan  0.135856  0.157506  1
0.156053  0.152544  nan  0.138567  0.165157  0.123065  1
nan  0.641460  nan  0.141195  0.691257  0.139290  1
nan  nan  1.057325  nan  0.152457  0.149353  1
0.141475  0.246756  0.152505  0.196141  0.306847  nan  1
