0.138589 0.159916 0.164424    
nan 0.146352 0.143176    
nan nan 0.165417    
0.137015 0.121302 0.136235    
0.134523 0.145943 0.720617    
0.127822 nan nan    
0.117530 0.129032 nan    
nan nan 0.146956    
0.435416 nan nan    
0.152170 0.137353 nan    
0.224428 nan 0.188743    
0.353787 nan 0.137500    
nan 0.347962 0.176880    
nan 0.162851 0.145961    
0.519938 nan 0.140934    
0.132105 0.171556 0.174629    
nan 0.226816 0.149905    
0.127164 0.139230 0.125345    
0.179402 nan nan    
nan nan 0.124667    
0.153329 0.124842 nan    
nan 0.216679 0.284102    
nan nan 0.150350    
nan 0.215857 0.204216    
nan nan 0.135564    
nan 0.152395 nan    
0.152714 0.128145 0.203346    
nan nan 0.552115    
0.143085 0.128112 nan    
0.176306 0.190864 nan    
0.122998 0.181704 0.173765    
0.485612 0.123279 0.126843    
0.126228 nan nan    
0.192342 0.137893 nan    
0.193450 nan nan    
0.188958 nan nan    
0.248783 nan nan    
nan nan 0.143486    
nan 0.126633 0.114029    
nan 0.139851 nan    
nan 0.157788 0.140359    
0.151103 nan 0.145108    
0.144649 nan 0.141165    
nan 0.185316 0.165594    
nan 0.144282 nan    
0.197744 0.118930 0.175822    
nan 0.131306 nan    
0.160859 nan nan    
nan 0.192649 0.118126    
0.148541 0.150210 nan    
nan 0.133490 nan    
nan 0.158804 0.155209    
0.139684 0.196176 nan    
nan 0.454786 nan    
0.146710 0.116235 0.163041    
0.128849 nan 0.116208    
0.254200 0.133720 nan    
0.147107 0.140264 0.148873    
nan 0.277255 0.170825    
0.127120 0.174585 0.193941    
0.129644 nan nan    
nan nan 0.128653    
0.124051 0.175457 nan    
nan 0.167748 0.133279    
0.249362 0.183475 0.148315    
0.115147 nan 0.149387    
0.132030 0.148583 0.175017    
0.150255 0.162651 nan    
0.216366 nan nan    
nan 0.144443 0.176944    
0.307647 0.174543 0.129533    
0.175946 nan nan    
nan nan 0.138366    
nan 0.127475 nan    
nan 0.147162 0.162884    
nan nan 0.152359    
0.158388 nan 0.162570    
0.155207 nan nan    
0.509224 0.147667 nan    
nan 0.151532 0.201800    
nan nan 0.122599    
nan 0.160730 nan    
nan 0.143842 0.146032    
0.160382 0.123249 nan    
0.139976 0.138669 nan    
0.172774 0.140365 nan    
0.156053 0.152544 nan    
nan 0.641460 nan    
nan nan 1.057325    
0.141475 0.246756 0.152505    
0.348735 nan nan    
nan nan 0.208298    
0.141191 nan nan    
nan 0.199845 nan    
0.393964 0.149582 0.188112    
nan 0.436629 nan    
0.388371 0.134808 0.120442    
0.117318 0.149896 nan    
nan 0.138524 nan    
nan 0.161055 0.178337    
nan nan 0.140270    
nan nan 0.199884    
nan nan 0.192615    
nan 0.252899 0.153374    
0.244462 0.140200 nan    
0.137212 nan nan    
0.204193 0.141572 0.302374    
1.281385 0.145945 nan    
0.129550 nan nan    
nan 0.216505 0.124512    
nan 0.153687 0.122025    
0.369286 nan 0.155422    
nan 0.269248 0.204042    
0.145618 0.129596 nan    
0.124550 0.147872 nan    
0.168383 0.169962 0.157191    
0.132137 0.311390 nan    
nan nan 0.141190    
0.131088 nan 0.139587    
0.168750 nan 0.127862    
nan nan 0.142019    
nan 0.278411 0.134873    
nan 0.131298 0.130763    
0.116586 nan 0.150090    
0.145638 0.148773 nan    
0.160220 0.130089 nan    
0.150800 0.164260 0.262568    
0.147529 0.123545 0.127644    
nan 0.156893 0.141225    
0.149584 0.197950 0.285059    
0.150343 nan nan    
0.118261 0.141158 0.197482    
nan nan 0.151414    
0.118932 nan nan    
0.147592 0.182918 0.182634    
nan nan 0.160180    
nan nan 0.141615    
nan 0.161386 0.197412    
0.162365 0.724400 nan    
0.137132 nan nan    
0.154510 0.193685 0.134389    
0.164499 nan 0.158884    
0.150832 4.827709 nan    
0.148775 nan 0.187313    
0.255721 nan 0.152697    
nan 0.119268 nan    
nan 0.127087 0.159327    
nan 0.171165 nan    
0.124984 nan 0.208223    
0.124072 0.148589 nan    
nan 0.171901 nan    
nan nan 0.444578    
0.157634 0.130623 0.158675    
0.151861 nan nan    
0.133954 nan 0.160897    
0.179017 nan nan    
nan 0.147233 nan    
nan nan 0.130221    
0.131364 0.143283 nan    
0.152613 nan 0.354734    
0.178226 0.266575 0.175069    
0.133599 0.136411 nan    
0.132264 0.148492 nan    
nan nan 0.155823    
0.159626 nan 0.209744    
0.143229 0.320748 nan    
0.133520 nan 0.130820    
nan 0.165979 0.323923    
1.215529 0.126303 0.127678    
nan nan 0.148422    
0.153367 nan 0.151625    
0.128310 nan 0.121439    
0.223835 nan 0.171947    
0.185069 0.182217 0.135311    
