0.138589 0.159916 0.164424 1.575472   
nan 0.146352 0.143176 nan   
nan nan 0.165417 nan   
0.137015 0.121302 0.136235 nan   
0.134523 0.145943 0.720617 nan   
0.127822 nan nan 0.278071   
0.117530 0.129032 nan 0.209537   
nan nan 0.146956 nan   
0.435416 nan nan 0.170679   
0.152170 0.137353 nan 0.161506   
0.224428 nan 0.188743 0.147910   
0.353787 nan 0.137500 0.140685   
nan 0.347962 0.176880 nan   
nan 0.162851 0.145961 0.128343   
0.519938 nan 0.140934 nan   
0.132105 0.171556 0.174629 0.139488   
nan 0.226816 0.149905 0.172896   
0.127164 0.139230 0.125345 0.122350   
nan nan nan 0.144840   
0.179402 nan nan 0.151333   
nan nan 0.124667 0.324093   
0.153329 0.124842 nan 0.164669   
nan 0.216679 0.284102 0.188363   
nan nan 0.150350 nan   
nan 0.215857 0.204216 0.186926   
nan nan 0.135564 nan   
nan 0.152395 nan nan   
0.152714 0.128145 0.203346 0.166420   
nan nan 0.552115 1.846745   
0.143085 0.128112 nan 0.158667   
0.176306 0.190864 nan 0.148449   
0.122998 0.181704 0.173765 nan   
0.485612 0.123279 0.126843 0.150575   
0.126228 nan nan nan   
0.192342 0.137893 nan 0.180989   
0.193450 nan nan 0.129620   
0.188958 nan nan 0.133145   
0.248783 nan nan 0.126180   
nan nan 0.143486 nan   
nan 0.126633 0.114029 nan   
nan 0.139851 nan 0.139166   
nan 0.157788 0.140359 nan   
0.151103 nan 0.145108 0.143238   
0.144649 nan 0.141165 0.153718   
nan 0.185316 0.165594 nan   
nan 0.144282 nan 0.229909   
0.197744 0.118930 0.175822 nan   
nan 0.131306 nan 0.208478   
0.160859 nan nan nan   
nan 0.192649 0.118126 0.134907   
0.148541 0.150210 nan 0.464368   
nan 0.133490 nan nan   
nan 0.158804 0.155209 0.246405   
0.139684 0.196176 nan nan   
nan 0.454786 nan nan   
0.146710 0.116235 0.163041 nan   
0.128849 nan 0.116208 0.239880   
0.254200 0.133720 nan nan   
0.147107 0.140264 0.148873 0.166236   
nan 0.277255 0.170825 nan   
0.127120 0.174585 0.193941 nan   
0.129644 nan nan nan   
nan nan 0.128653 0.206177   
0.124051 0.175457 nan nan   
nan 0.167748 0.133279 0.170799   
0.249362 0.183475 0.148315 nan   
0.115147 nan 0.149387 0.484609   
0.132030 0.148583 0.175017 0.136646   
0.150255 0.162651 nan nan   
0.216366 nan nan nan   
nan 0.144443 0.176944 0.173400   
0.307647 0.174543 0.129533 0.135730   
0.175946 nan nan nan   
nan nan 0.138366 nan   
nan 0.127475 nan nan   
nan 0.147162 0.162884 nan   
nan nan 0.152359 0.158747   
0.158388 nan 0.162570 0.168722   
0.155207 nan nan nan   
0.509224 0.147667 nan 0.125824   
nan 0.151532 0.201800 nan   
nan nan 0.122599 0.476892   
nan 0.160730 nan 0.180935   
nan 0.143842 0.146032 1.046640   
0.160382 0.123249 nan 0.140150   
0.139976 0.138669 nan nan   
0.172774 0.140365 nan nan   
0.156053 0.152544 nan 0.138567   
nan 0.641460 nan 0.141195   
nan nan 1.057325 nan   
0.141475 0.246756 0.152505 0.196141   
0.348735 nan nan nan   
nan nan 0.208298 nan   
0.141191 nan nan 0.144153   
nan 0.199845 nan nan   
0.393964 0.149582 0.188112 0.140496   
nan 0.436629 nan 0.135590   
0.388371 0.134808 0.120442 nan   
0.117318 0.149896 nan 0.126584   
nan 0.138524 nan nan   
nan 0.161055 0.178337 0.189494   
nan nan 0.140270 0.190512   
nan nan 0.199884 0.189794   
nan nan 0.192615 nan   
nan 0.252899 0.153374 0.149861   
0.244462 0.140200 nan 0.120842   
0.137212 nan nan nan   
0.204193 0.141572 0.302374 nan   
1.281385 0.145945 nan 0.121043   
0.129550 nan nan 0.129234   
nan 0.216505 0.124512 nan   
nan 0.153687 0.122025 0.141797   
0.369286 nan 0.155422 0.248142   
nan 0.269248 0.204042 nan   
0.145618 0.129596 nan nan   
0.124550 0.147872 nan 0.169922   
nan nan nan 0.159745   
0.168383 0.169962 0.157191 nan   
0.132137 0.311390 nan 0.149443   
nan nan 0.141190 0.333518   
